brand,brand_tweets,customer_messages,response_pairs,conversations,unique_customers,avg_turns,median_turns,avg_customer_chars,avg_customer_words,text_urls,text_mentions,text_hashtags,text_emojis,text_questions,text_low_information,candidate_rank,agent_tweet_share
AmazonHelp,169840,167149,168814,82534,65898,4.53,3.0,113.96,19.1,24858,184421,18207,25903,36611,0,1,0.13332
AppleSupport,106860,105156,106646,80702,68758,2.96,2.0,106.73,18.38,14527,120062,14189,22315,29446,0,2,0.083882
Uber_Support,56270,59002,56160,41923,35975,3.07,2.0,114.71,20.09,7065,68753,6159,7381,15311,0,3,0.04417
SpotifyCares,43265,39690,43092,28280,25055,3.25,2.0,102.91,17.64,5016,43972,2247,6844,12830,0,4,0.033962
AmericanAir,36764,39186,36531,26385,20187,3.32,2.0,118.83,19.94,4962,46181,10799,7359,8776,0,5,0.028859
Delta,42253,33816,42114,26166,19396,3.36,2.0,106.03,18.89,4450,39103,8195,6439,8359,0,6,0.033167
TMobileHelp,34317,30446,34215,22789,16745,3.63,2.0,106.87,18.7,3076,42977,4141,4754,8311,0,7,0.026938
VirginTrains,27817,29932,27416,14850,11962,4.43,3.0,107.53,18.01,2303,36472,3039,5846,9811,0,8,0.021836
SouthwestAir,28977,29256,28828,21636,18481,2.99,2.0,109.7,17.95,5668,33132,9072,9866,6442,0,9,0.022746
comcastcares,33031,27811,32921,24061,18756,3.04,2.0,108.67,18.36,3188,32054,8088,3622,7423,0,10,0.025928
Ask_Spectrum,25860,24593,25617,18530,15479,3.22,2.0,104.08,17.68,2477,27885,3041,2853,7669,0,11,0.020299
British_Airways,29361,22944,29290,16450,11858,3.69,3.0,125.86,20.72,2686,26305,4394,3660,6703,0,12,0.023048
hulu_support,21872,22609,21681,14955,12801,3.3,2.0,107.49,18.61,2123,26553,2147,3314,7479,0,13,0.017169
ATVIAssist,17650,22304,17514,11096,13711,4.36,2.0,97.19,17.08,2683,31389,977,1898,4932,0,14,0.013855
GWRHelp,19364,21541,19237,10728,7289,4.37,3.0,111.88,19.51,1595,25432,2042,2256,7962,0,15,0.0152
Tesco,38573,21464,38468,16721,11752,4.38,4.0,105.96,18.87,3339,23538,3109,5580,5632,0,16,0.030279
AskPlayStation,19098,20569,18675,12533,11887,3.44,2.0,105.9,18.28,1473,22354,317,868,5955,0,17,0.014991
XboxSupport,24557,20533,23235,13454,11145,4.29,3.0,105.62,18.56,2182,24204,874,1407,5323,0,18,0.019277
ChipotleTweets,18749,19578,18599,14392,13431,2.91,2.0,90.65,14.6,3469,20562,3118,8376,3320,0,19,0.014717
VerizonSupport,17966,19410,17805,8446,7014,5.44,4.0,99.62,16.71,1818,22385,1355,1535,3904,0,20,0.014103
sprintcare,22381,19221,22209,13555,10814,3.99,2.0,100.83,17.82,1697,23478,2825,4230,3787,0,21,0.017568
UPSHelp,17817,18837,17762,15522,12994,2.87,2.0,121.17,21.45,2290,22796,2754,3586,5347,0,22,0.013986
sainsburys,19466,17647,19399,10934,9418,4.0,3.0,109.9,17.95,4632,19810,3960,4604,4326,0,23,0.01528
O2,16212,16250,16069,9520,8120,3.84,2.0,108.02,20.54,1546,18408,2348,3995,4887,0,24,0.012726
AskTarget,13218,15011,13210,11149,10291,2.75,2.0,117.89,20.34,3394,18023,3204,3683,5185,0,25,0.010376
Safaricom_Care,16077,14515,15441,9337,6492,3.61,3.0,84.43,13.07,649,16792,243,755,2886,0,26,0.01262
idea_cares,15724,13509,15591,7521,4954,4.63,3.0,112.36,18.95,1806,18140,1440,979,2207,0,27,0.012343
ArgosHelpers,12174,13020,12030,7553,6345,3.75,3.0,109.81,19.01,1622,14578,1221,2373,3905,0,28,0.009556
SW_Help,12231,12245,11729,6221,4395,4.63,3.0,111.88,19.48,728,16126,704,892,5477,0,29,0.009601
AskLyft,11809,11684,11782,10169,8599,2.68,2.0,104.24,19.28,1207,11082,1140,2595,2868,0,30,0.00927
AirAsiaSupport,12829,11026,12694,6762,5597,3.99,2.0,102.45,16.71,790,12311,292,728,3816,0,31,0.01007
AskPayPal,11298,11013,11239,9587,8289,2.83,2.0,105.05,18.34,1293,13308,819,1182,3861,0,32,0.008869
marksandspencer,11504,10509,11425,7976,6758,3.25,2.0,122.52,19.14,2796,13645,3608,4899,2975,0,33,0.00903
McDonalds,8478,10053,8427,8132,8773,2.4,2.0,64.53,10.88,1660,4889,1803,4660,933,0,34,0.006655
AskeBay,9686,8932,9612,5662,4425,3.74,2.0,119.47,21.46,680,10312,982,887,2530,0,35,0.007603
MicrosoftHelps,11304,8739,11215,4458,3301,5.5,4.0,122.72,20.38,1254,9449,598,550,1954,0,36,0.008873
AirbnbHelp,8875,8565,8820,6033,5011,3.33,2.0,120.29,20.92,874,9732,1131,871,2493,0,37,0.006967
AdobeCare,9917,8389,9858,5094,4184,4.12,3.0,112.26,19.33,1202,8761,767,783,2364,0,38,0.007785
AldiUK,8114,7805,7846,6631,5624,2.86,2.0,106.78,17.84,2721,9459,2561,4559,2096,0,39,0.006369
ChaseSupport,8811,7801,8707,6887,5968,2.77,2.0,110.41,19.21,808,8273,1284,1822,2021,0,40,0.006916
Morrisons,10126,7798,9980,5960,4502,3.57,3.0,108.37,18.13,1795,8639,1681,2465,1771,0,41,0.007949
BofA_Help,12683,7793,12634,6581,4630,3.78,3.0,102.86,18.28,563,8072,949,1245,1550,0,42,0.009956
JetBlue,8020,7789,7956,5181,4228,3.44,3.0,104.28,18.36,928,8828,1680,1760,2139,0,43,0.006295
CoxHelp,7861,7551,7813,4874,3951,3.75,2.0,102.51,18.24,702,8459,764,824,2095,0,44,0.006171
AlaskaAir,7478,7511,7412,5629,4343,3.0,2.0,110.14,18.51,1310,8768,2471,1689,1788,0,45,0.00587
LondonMidland,6822,7445,6498,3675,2932,4.42,3.0,106.24,17.65,389,8373,420,827,3157,0,46,0.005355
Ask_WellsFargo,7578,7245,7559,6036,5218,2.76,2.0,96.93,17.07,892,4954,840,2530,958,0,47,0.005949
AskAmex,11358,6770,11090,4300,2883,4.86,4.0,88.32,16.06,208,7249,233,295,1930,0,48,0.008916
GloCare,6308,6571,6300,3219,2231,4.65,3.0,97.85,17.24,316,8118,393,332,1270,0,49,0.004952
AzureSupport,7565,5595,7010,3309,2357,4.45,3.0,106.81,16.89,1085,5795,1491,127,1637,0,50,0.005938
airtel_care,9881,5570,9402,4024,2275,4.53,3.0,99.61,16.71,416,7713,414,378,937,0,51,0.007756
VirginAtlantic,4318,4969,4256,2771,2300,3.72,3.0,112.98,18.93,362,5797,661,987,1748,0,52,0.00339
GreggsOfficial,4522,4859,4487,3344,3067,3.27,2.0,102.82,16.52,871,5565,978,2379,1191,0,53,0.00355
TacoBellTeam,4082,4417,4081,3110,2961,2.89,2.0,97.92,16.39,1386,4745,622,1354,846,0,54,0.003204
nationalrailenq,4444,4363,4073,2275,2065,4.46,4.0,105.81,17.12,309,4986,213,444,2043,0,55,0.003488
AskPapaJohns,3908,4257,3892,3153,3057,2.83,2.0,101.09,17.18,1168,4505,704,1221,973,0,56,0.003068
NikeSupport,3468,3834,3408,1563,1452,4.99,4.0,98.46,16.88,653,4027,138,375,986,0,57,0.002722
DropboxSupport,5954,3739,5938,3178,2442,3.66,3.0,118.95,19.94,551,4265,269,321,1249,0,58,0.004674
Postmates_Help,3346,3723,3336,3010,2669,2.59,2.0,111.77,19.28,418,4351,302,623,1067,0,59,0.002627
CenturyLinkHelp,3801,3646,3793,2988,2362,3.3,2.0,115.16,19.56,420,3781,643,418,817,0,60,0.002984
